127.0.0.1 - - [28/Sep/2022:10:26:36 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:26:41 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:12 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:14 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:16 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:17 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:19 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:21 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:22 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:24 -0400] "GET /E-Commerence/addToCart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:24 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:27 -0400] "GET /E-Commerence/addToCart?id=1 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:52 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:54 -0400] "POST /E-Commerence/orderNow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:54 -0400] "GET /E-Commerence/login.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:56 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:28:57 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:29:20 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:29:21 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:29:22 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:36 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7740
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:39 -0400] "GET /E-Commerence/addToCart?id=1 HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:44 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:48 -0400] "POST /E-Commerence/orderNow HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:48 -0400] "GET /E-Commerence/login.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:54 -0400] "POST /E-Commerence/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:48:54 -0400] "GET /E-Commerence/index.jsp HTTP/1.1" 200 7826
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:49:56 -0400] "GET /E-Commerence/cart.jsp HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [28/Sep/2022:10:49:58 -0400] "POST /E-Commerence/orderNow HTTP/1.1" 200 16
